title_tconst,english_title
tt0052556,The Lovers
tt0052572,Apu 3: The World of Apu
tt0052579,Samurai Saga
tt0052587,The Atomic Submarine
tt0052600,Ballad of a Soldier
tt0052654,The Bridge
tt0052708,The Cousins
tt0052805,First Man Into Space
tt0052893,Hiroshima Mon Amour
tt0052923,India: Matri Bhumi
tt0052957,The Key
tt0052961,Kapo
tt0052966,The Snow Flurry
tt0052981,Thus Another Day
tt0052997,The League of Gentlemen
tt0053106,The Unmailed Letter
tt0053114,Human Condition I: No Greater Love
tt0053115,Human Condition II: Road to Eternity
tt0053121,Fires on the Plain
tt0053134,Good Morning
tt0053146,Orfeo negro
tt0053168,Pickpocket
tt0053198,Los 400 golpes
tt0053242,Sapphire
tt0053259,Farewell to Spring
tt0053270,Shadows
tt0053361,La bahía del tigre
tt0053390,Floating Weeds
tt0053459,Los ojos sin cara
tt0053472,Sin aliento
tt0053579,Late Autumn
tt0053604,Piso de soltero
tt0053619,L'Avventura
tt0053643,Bell' Antonio
tt0053765,The Goddess
tt0053772,The Devil's Eye
tt0053796,El cómico
tt0053842,The River Fuefuki
tt0053892,Spring Dreams
tt0053917,Herencia de la carne
tt0053976,El manantial de la doncella
tt0054073,The Cloud-Capped Star
tt0054107,My Face Red in the Sunset
tt0054122,Night and Fog in Japan
tt0054130,La Notte
tt0054143,One Way Ticket to Love
tt0054144,When a Woman Ascends the Stairs
tt0054151,Younger Brother
tt0054156,Paris Belongs to Us
tt0054177,The Little Soldier
tt0054189,A pleno sol
tt0054205,Primary
tt0054248,Rocco and His Brothers
tt0054269,Todo comienza el sabado
tt0054286,Cruel Story of Youth
tt0054325,Take Aim at the Police Van
tt0054350,Everything Goes Wrong
tt0054366,The Sun's Burial
tt0054377,Le testament d'Orphée
tt0054389,Shoot the Piano Player
tt0054407,The Hole
tt0054412,Tunes of Glory
tt0054460,The Bad Sleep Well
tt0054494,Zazie in the Metro
tt0054599,Accattone
tt0054614,All Night Long
tt0054665,The Original Fabulous Adventures of Baron Munchausen
tt0054709,Pigs and Battleships
tt0054745,Chronicle of a Summer
tt0054763,The Connection
tt0054780,The Devil's Trap
tt0054803,Nine Days of One Year
tt0054845,Immortal Love
tt0054861,The Exiles
tt0054940,The Grand Olympics
tt0055032,Jules and Jim
tt0055052,The End of Summer
tt0055082,The Forgiven Sinner
tt0055093,Lola
tt0055233,The Human Condition III
tt0055269,Our Marriage
tt0055310,Placido
tt0055320,The Sound of Trumpets
tt0055399,Salvatore Giuliano
tt0055440,Love New and Old
tt0055499,Through a Glass Darkly
tt0055506,A Taste of Honey
tt0055508,Three Daughters
tt0055572,A Woman Is a Woman
tt0055597,Victim
tt0055601,Viridiana
tt0055630,The Bodyguard
tt0055830,Carnaval de almas
tt0055852,Cléo de 5 a 7
tt0055858,The Grim Reaper
tt0055913,Divorce Italian Style
tt0055928,El satánico Dr. No
tt0055981,The Fiances
tt0056003,Ballad of a Worker
tt0056049,The Island
tt0056058,Harakiri
tt0056111,My Name Is Ivan
tt0056135,The Inheritance
tt0056144,Destiny's Son
tt0056210,Mafioso
tt0056215,Mamma Roma
tt0056291,Knife in the Water
tt0056327,Flor pálida
tt0060574,Young Törless
tt0060586,The Born Fighter
tt0060597,Carriage to Vienna
tt0060635,Dragon Inn
tt0060675,Masculine Feminine
tt0060740,Night Games
tt0060742,The Hero
tt0060758,Black Girl
tt0060770,Return of the Prodigal Son
tt0060802,Los trenes rigurosamente vigilados
tt0060827,El pecado compartido
tt0060879,"Who Are You, Polly Maggoo?"
tt0060920,The Plot to Kill JFK: Rush to Judgment
tt0060959,Daisies
tt0061065,The Face of Another
tt0061084,The Shepherds of Calamity
tt0061101,Tokyo Drifter
tt0061132,The Hawks and the Sparrows
tt0061162,"War and Peace, Part II: Natasha Rostova"
tt0061196,Wings
tt0061395,Bella de día
tt0061495,The Collector
tt0061589,Bob Dylan: Dont Look Back
tt0061613,"Edipo, el hijo de la fortuna"
tt0061620,Elvira Madigan
tt0061658,Festival
tt0061781,The Firemen's Ball and Lottery
tt0061834,I Am Curious (Yellow)
tt0061847,Samurai Rebellion
tt0061856,Son of Godzilla
tt0061882,Branded to Kill
tt0061883,Brief Encounters
tt0061912,An Affair of the Heart
tt0061971,Scattered Clouds
tt0061996,Mouchette
tt0062009,Double Suicide: Japanese Summer
tt0062042,Sing a Song of Sex
tt0062113,Peppermint Frappé
tt0062136,Play Time
tt0062144,Portrait of Jason
tt0062229,El samurai
tt0062262,The Shooting
tt0062285,"Oh, Sun"
tt0062322,Reflections
tt0062411,The X from Outer Space
tt0062455,"War and Peace, Part III: The Year 1812"
tt0062456,"War and Peace, Part IV: Pierre Bezukhov"
tt0062474,Warrendale
tt0062480,Weekend
tt0062492,Wild 90
tt0062518,Zatoichi Breaks Jail
tt0062663,Mad Love
tt0062695,Stolen Kisses
tt0062773,Calcutta
tt0062873,The Young Girls of Rochefort
tt0062893,Dillinger Is Dead
tt0062916,Duet for Cannibals
tt0062952,Faces
tt0062981,The Girls
tt0063169,Three Resurrected Drunkards
tt0063172,Destroy All Monsters
tt0063173,Profound Desires of the Gods
tt0063186,Kill!
tt0063195,War of the Insects
tt0063198,Death by Hanging
tt0063206,"Goke, Body Snatcher from Hell"
tt0063268,Mandabi
tt0063278,Marketa Lazarová
tt0063291,The Cuban Thing
tt0063342,Innocence Unprotected
tt0063350,La noche de los muertos
tt0063371,A Report on the Party and Guests
tt0063527,Capricious Summer
tt0063555,Red Pomegranate
tt0063598,Diary of a Shinjuku Thief
tt0063611,Shame
tt0063633,The Cremator
tt0063646,The Story of a Three Day Pass
tt0063651,Stress Is Three
tt0063665,One + One
tt0063678,Teorema
tt0063715,Historias extraordinarias
tt0063759,La hora del lobo
tt0063791,All My Compatriots
tt0063834,Zatoichi Challenged
tt0063835,Zatoichi and the Fugitives
tt0063876,Boy
tt0064038,The Land
tt0064373,Sofie Dossi's Revenge
tt0064390,Le Grand Amour
tt0064437,Amantes sanguinarios
tt0064451,A Touch of Zen
tt0064482,In the Year of the Pig
tt0064536,Katzelmacher
tt0064546,Witchhammer
tt0064588,Love Is Colder Than Death
tt0064591,"Lions, Love and Lies"
tt0064609,Lucia
tt0064612,My Night at Maud's
tt0064620,Honeycomb
tt0064625,Maidstone
tt0064640,A Married Couple
tt0064674,Mr. Freedom
tt0064689,Monterey Pop
tt0064694,More
tt0064756,The Olympics in Mexico
tt0064781,Fruit of Paradise
tt0064793,The Passion of Anna
tt0064816,La piscina
tt0064828,Pigsty
tt0064843,Case for a Rookie Hangman
tt0064921,Salesman
tt0064975,Double Suicide
tt0065036,Stereo
tt0065234,Z
tt0065241,La broma
tt0065261,Adalen 31
tt0065391,The American Soldier
tt0065591,Crimes of the Future
tt0065600,"Four Murders Is Enough, Darling"
tt0065649,Dodes'ka-den
tt0065651,Domicilio conyugal
tt0065695,Naked Childhood
tt0065772,Claire's Knee
tt0065776,Space Amoeba
tt0065780,Gimme Shelter
tt0065808,Gods of the Plague
tt0065913,The Garden of Delights
tt0066065,Medea
tt0066207,Donkey Skin
tt0066466,The Man Who Left His Will on Film
tt0066498,The Ear
tt0066516,Valerie en la semana de los horrores
tt0066531,Long Live the Bride and Groom
tt0066602,Zatoichi and the One-Armed Swordsman
tt0066603,Zatoichi Meets Yojimbo
tt0066639,The Ceremony
tt0066773,The Goalie's Anxiety at the Penalty Kick
tt0066826,The Touch
tt0066842,Bleak Moments
tt0066989,Two English Girls
tt0067048,Emitai
tt0067055,The Equinox... A Journey Into the Supernatural
tt0067148,Godzilla contra monstruos del smog
tt0067185,Enséñame a vivir
tt0067227,The Merchant of Four Seasons
tt0067431,Emile de Antonio's Millhouse
tt0067439,My Uncle Antoine
tt0067454,Multiple Maniacs
tt0067464,The Girl on the Broomstick
tt0067580,Pink Narcissus
tt0067641,Four Nights of a Dreamer
tt0067649,Downpour
tt0067755,Silence
tt0067778,Murmur of the Heart
tt0067810,Sweet Sweetback
tt0067958,WR: Mysteries of the Organism
tt0067959,Encuentro de dos mundos
tt0067961,Wanda
tt0067962,Beware of a Holy Harlot
tt0068205,Love in the Afternoon
tt0068207,Anna and the Wolves
tt0068278,The Bitter Tears of Petra von Kant
tt0068371,Godzilla on Monster Island
tt0068379,Ciao! Manhattan
tt0068650,Hanzo the Razor: Sword of Justice
tt0068725,Hotel Monterey
tt0068815,"Lone Wolf and Cub; Lend the Son, Lend the Arms, the be Arrested"
tt0068816,Lone Wolf and Cub: Baby Cart at the River Styx
tt0068817,Shogun Assassin 2: Lightning Swords of Death
tt0069086,The Pied Piper
tt0069198,The Ruling Class
tt0069214,Sambizanga
tt0069222,Sapporo Winter Olympics
tt0069293,Solaris
tt0069398,All's Well
tt0069400,Traffic
tt0069467,Gritos y susurros
tt0069489,Wedding in White
tt0069687,Alice in the Cities
tt0069990,"Don Juan, or If Don Juan Were a Woman"
tt0069996,Don't Play Us Cheap
tt0070007,Near Orouet
tt0070040,The Spirit of the Beehive
tt0070122,Godzilla vs. Megalon
tt0070155,The Harder They Come
tt0070359,The Mother and the Whore
tt0070528,The Petrified Forest
tt0070544,El planeta salvaje
tt0070698,Siamesas diabólicas
tt0070809,A River Called Titas
tt0070820,Touki Bouki
tt0070832,Three Wishes for Cinderella
tt0070884,Olympic Visions
tt0070959,State of Siege
tt0070960,A Slightly Pregnant Man
tt0071129,Amarcord
tt0071141,Ali: Fear Eats the Soul
tt0071219,A Bigger Splash
tt0071282,The Cars That Eat People
tt0071381,Celine and Julie Go Boating
tt0071384,Daguerreotypes
tt0071411,Dersu Uzala
tt0071458,Effi Briest
tt0071487,The Phantom of Liberty
tt0071544,Barbet Schroeder's General Idi Amin Dada [A Self Portrait]
tt0071565,Godzilla vs. Cosmic Monster
tt0071571,60 segundos
tt0071587,The Mouth Agape
tt0071604,Hearts and Minds
tt0071609,Himiko
tt0071622,The Clockmaker
tt0071635,A Human Condition
tt0071690,"I, You, He, She"
tt0071695,Lone Wolf and Cub: White Heaven in Hell
tt0071733,"Lacombe, Lucien"
tt0071737,Lancelot of the Lake
tt0071797,Mahler
tt0071833,My Little Loves
tt0071859,The Traveler
tt0071910,Portero de noche
tt0071999,Place de la République
tt0072030,Cousin Angelica
tt0072053,Let Joy Reign Supreme
tt0072157,Lady Snowblood 2: Love Song of Vengeance
tt0072195,Space Is the Place
tt0072417,Neurosis de mujer
tt0072439,Zatoichi's Conspiracy
tt0072443,El espejo
tt0072709,Luna negra
tt0072826,"Cousin, Cousine"
tt0072962,Hoax
tt0072976,La ley del más fuerte
tt0073076,Grey Gardens
tt0073107,La calle Hester
tt0073152,Kings of the Road
tt0073166,India Song
tt0073198,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles"
tt0073219,The Judge and the Assassin
tt0073246,King of the Night
tt0073363,Manila in the Claws of Light
tt0073373,The Terror of Godzilla
tt0073424,Mother Küsters Goes to Heaven
tt0073467,Not a Pretty Picture
tt0073502,Overlord
tt0073540,Picnic en Hanging Rock
tt0073654,Sandakan 8
tt0073841,Under the Blossoming Cherry Trees
tt0073858,The Lost Honor of Katharina Blum
tt0073915,Xala
tt0073948,Adoption
tt0074102,El imperio de los sentidos
tt0074168,Return of the Prodigal Son
tt0074190,"Baxter, Vera Baxter"
tt0074220,The Scar
tt0074312,Chinese Roulette
tt0074360,Cria!
tt0074486,Cabeza de borrador
tt0074515,Coup de Grâce
tt0074749,The Killing of a Chinese Bookie
tt0074851,El hombre que cayó a la Tierra
tt0074868,The Margin
tt0074883,Mistress
tt0074901,Mikey and Nicky
tt0074916,Mr Klein
tt0075098,Pressure
tt0075165,Satan's Brew
tt0075367,Underground
tt0075404,The Ascent
tt0075654,Alambrista!
tt0075675,El amigo americano
tt0075744,Between the Lines
tt0075793,We All Loved Each Other So Much
tt0075860,Encuentros cercanos del tercer tipo
tt0075915,One Way or Another
tt0075933,Spoiled Children
tt0075938,"The Devil, Probably"
tt0075983,"Elisa, My Life"
tt0076085,A Special Day
tt0076097,Koko: A Talking Gorilla
tt0076124,Ballad of Orin
tt0076155,The Man Who Loved Women
tt0076162,Hausu
tt0076221,Jabberwocky
tt0076240,Jubilee
tt0076263,Killer of Sheep
tt0076299,La última ola
tt0076341,Perfumed Nightmare
tt0076452,News from Home
tt0076855,"One Sings, the Other Doesn't"
tt0076916,White Rock
tt0077132,In the Realm of Passion
tt0077138,The Tree of Wooden Clogs
tt0077309,Outsiders
tt0077383,Family Nest
tt0077598,Gates of Heaven
tt0077655,Last Hurrah for Chivalry
tt0077711,Autumn Sonata
tt0077729,In a Year with 13 Moons
tt0077740,Insiang
tt0077751,Alexandria... Why?
tt0077775,The Elephant God
tt0077878,Lucio Flavio
tt0077964,My Way Home
tt0078021,Blindfolded Eyes
tt0078152,The Meetings of Anna
tt0078259,El grito
tt0078480,Watership Down
tt0078481,A Wedding
tt0078763,Camera Buff
tt0078771,Love on the Run
tt0078875,El tambor de hojalata
tt0078908,Los engendros del diablo
tt0079010,Christ Stopped at Eboli
tt0079041,Demon Pond
tt0079083,The Third Generation
tt0079095,The Marriage of Maria Braun
tt0079182,Vengeance Is Mine
tt0079315,The Fearless Hyena
tt0079317,Hunter in the Dark
tt0079472,The Magnificent Butcher
tt0079596,My Brilliant Career
tt0079672,Noche de estreno
tt0079701,Graduate First
tt0079766,Quadrophenia
tt0079854,Every Man for Himself
tt0079944,Stalker. La zona
tt0080009,Tess
tt0080125,West Indies
tt0080140,Wise Blood
tt0080310,'Breaker' Morant
tt0080397,From the Life of the Marionettes
tt0080408,Bad Timing
tt0080610,The Last Metro
tt0080623,Half a Loaf of Kung Fu
tt0080678,El hombre elefante
tt0080827,Encounter of the Spooky Kind
tt0080889,Hopscotch
tt0080964,Cute Girl
tt0081055,Lightning Over Water
tt0081070,The Long Good Friday
tt0081076,Loulou
tt0081114,Maniac: Maníaco
tt0081176,My American Uncle
tt0081182,Death Watch
tt0081204,Mur murs
tt0081291,Rebelde sin destino
tt0081441,Rude Boy
tt0081455,"Telépatas, mentes destructoras"
tt0081499,The Young Master
tt0081506,Shogun Assassin
tt0081633,Bandidos del tiempo
tt0081686,A Week's Vacation
tt0082053,A Good Marriage
tt0082093,Bona
tt0082117,Burning an Illusion
tt0082176,"Yo, Cristina F"
tt0082206,Clean Slate
tt0082259,"Hurry, Hurry!"
tt0082275,Documenteur
tt0082313,Why Not?
tt0082318,Rat-Trap
tt0082370,The Woman Next Door
tt0082599,Calamity
tt0082601,Fall Guy
tt0082671,Lola
tt0082783,My Dinner with Andre
tt0082888,National Heritage
tt0082912,Pixote
tt0082927,Le Pont du Nord
tt0082933,Posesión
tt0082934,El cartero siempre llama dos veces
tt0083352,Dreadnaught
tt0083539,All by Myself: The Eartha Kitt Story
tt0083611,The Informer
tt0083702,Pelicula o muerte
tt0083722,La marca de la pantera
tt0083789,Danton
tt0083859,Sweet Hours
tt0083869,Eating Raoul
tt0083922,Fanny and Alexander
tt0084042,An Egyptian Story
tt0084116,Identification of a Woman
tt0084130,In the King of Prussia
tt0084248,Nomad
tt0084269,Losing Ground
tt0084383,National III
tt0084388,Diary for My Children
tt0084423,That Night in Varennes
tt0084488,Permanent Vacation
tt0084538,Privates on Parade
tt0084565,Querelle
tt0084628,Sans Soleil
tt0084654,Veronika Voss
tt0084698,Smithereens
tt0084740,El Sur
tt0084786,Flying High
tt0084807,Boat People
tt0084808,A Whole Night
tt0084829,The Trout
tt0084843,A Room in Town
tt0084867,Vigilante
tt0085180,L'Argent
tt0085267,Born in Flames
tt0085276,Sin aliento
tt0085279,Bullshot Crummond
tt0085533,The Boys from Fengkuei
tt0085864,Fearless Hyena 2
tt0085891,The Man Who Loved Women
tt0085933,Merry Christmas Mr. Lawrence
tt0085946,Mississippi Blues
tt0086087,Pauline at the Beach
tt0086242,The Makioka Sisters
tt0086245,"Say Amen, Somebody"
tt0086265,Scrubbers
tt0086479,Tricheurs
tt0086551,Let It Be Sunday
tt0086631,"The Green, Green Grass of Home"
tt0086650,To Our Loves
tt0086859,El poder y la pasión
tt0086889,Love on the Ground
tt0086907,Antonio Gaudí
tt0086923,First Graders
tt0086961,No End
tt0086977,Bless Their Little Hearts
tt0086979,Simplemente sangre
tt0087188,The Ship Sails On
tt0087322,George Stevens: A Filmmaker's Journey
tt0087328,The Home and the World
tt0087414,The Hit
tt0087571,Children of Nagasaki
tt0087763,My Brother's Wedding
tt0087789,Next of Kin
tt0087821,Full Moon in Paris
tt0087884,"París, Texas"
tt0087900,Change of Fate
tt0087995,El reclamador
tt0088074,Secret Honor
tt0088184,Stranger Than Paradise
tt0088196,Streetwise
tt0088222,Typhoon Club
tt0088275,The Times of Harvey Milk
tt0088315,Swann in Love
tt0088318,A Sunday in the Country
tt0088322,Under the Volcano
tt0088383,Bonaparte in Egypt
tt0088680,Después de hora
tt0088992,The Runner
tt0089015,Desert Hearts
tt0089177,My Lucky Stars
tt0089282,Gold and Glory
tt0089343,Insignificance
tt0089371,Mr. Vampire
tt0089374,La historia policiaca de Jackie Chan
tt0089424,El beso de la mujer araña
tt0089507,Louie Bluie
tt0089537,Bad Night
tt0089603,Mishima: Una vida en cuatro capítulos
tt0089606,My Life as a Dog
tt0089742,Ornette: Made in America
tt0089746,The Funeral
tt0089838,A Private Function
tt0089866,Taipei Story
tt0089902,André Téchiné's Rendez-Vous
tt0089960,Vagabond
tt0090037,Smooth Talk
tt0090182,Tokyo-Ga
tt0090251,Variety
tt0090252,Seduction: The Cruel Woman
tt0090271,Wolf's Hole
tt0090297,Water
tt0090559,16 Days of Glory
tt0090563,Betty Blue
tt0090766,Border Radio
tt0090922,Love Unto Waste
tt0090955,The Making of 'Fanny and Alexander'
tt0090956,Eastern Condors
tt0090967,Down by Law
tt0091136,Gonza the Spearman
tt0091229,Royal Warriors
tt0091251,Ven y mira
tt0091288,Jean de Florette
tt0091293,Mr. Vampire II
tt0091461,Maine Ocean
tt0091480,Manon of the Spring
tt0091538,Mona Lisa
tt0091830,Summer
tt0091859,"Rita, Sue and Bob Too"
tt0091867,Un romance indiscreto
tt0091869,Rosa Luxemburg
tt0091892,Sarraounia
tt0091946,"Big Joys, Small Sorrows"
tt0091960,The Sixth Day
tt0091971,Sleepwalk
tt0092048,Tampopo
tt0092149,Shadows in Paradise
tt0092219,Window Shopping
tt0092238,Working Girls
tt0092252,Evil Cat
tt0092258,Yam Daabo
tt0092263,A Better Tomorrow
tt0092264,Heroes Shed No Tears
tt0092557,Anantaram
tt0092593,Au Revoir les Enfants
tt0092603,El festín de Babette
tt0092905,The Long Farewell
tt0092963,The Emperor's Naked Army Marches On
tt0093006,Family Viewing
tt0093029,5 Corners
tt0093191,Las alas del deseo
tt0093238,I Was a Teenage Zombie
tt0093258,Rouge
tt0093267,Fellini's Intervista
tt0093284,It Couldn't Happen Here
tt0093295,Jane B. for Agnes V.
tt0093304,Prison on Fire
tt0093342,Where is My Friend's House?
tt0093371,Le Petit Amour
tt0093389,El último emperador
tt0093422,Mr. Vampire Part 3
tt0093426,An Autumn's Tale
tt0093431,The Lonely Passion of Judith Hearne
tt0093435,City on Fire
tt0093502,A Taxing Woman
tt0093505,Masks
tt0093599,Diary for My Lovers
tt0093640,Sin salida
tt0093668,Pathfinder
tt0093733,The Photograph
tt0093843,Control remoto
tt0093870,"Robocop, el defensor del futuro"
tt0093944,My Heart Is That Eternal Rose
tt0093978,A Chinese Ghost Story
tt0094011,Under the Sun of Satan
tt0094048,Straight to Hell
tt0094100,Princess from the Moon
tt0094248,Vera
tt0094314,West Is West
tt0094336,Withnail y yo
tt0094357,A Better Tomorrow II
tt0094375,Dynamite Fighters
tt0094596,Virgin
tt0094675,Ariel
tt0094709,Band of Four
tt0094858,Father
tt0094868,Chocolat
tt0094933,Dead on Arrival
tt0095302,High Hopes
tt0095310,"American Stories: Food, Family and Philosophy"
tt0095403,Police Story 2
tt0095417,Virgin Machine
tt0095467,A Short Film About Love
tt0095468,A Short Film About Killing
tt0095515,Let's Get Lost
tt0095583,Maniac Cop
tt0095597,A Taxing Woman's Return
tt0095951,The Raggedy Rawney
tt0095961,Celluloid Nightmares
tt0096163,Desvanecimiento
tt0096257,The Thin Blue Line
tt0096294,Track 29
tt0096336,Story of Women
tt0096409,Walker
tt0096461,As Tears Go By
tt0096472,School on Fire
tt0096841,The Asthenic Syndrome
tt0096852,Notebook on Cities and Clothes
tt0097052,Checking Out
tt0097099,Common Threads: Stories from the Quilt
tt0097106,Tales of Four Seasons
tt0097202,The Killer
tt0097372,National Geographic: For All Mankind
tt0097409,An Enemy of the People
tt0097444,Godzilla 2
tt0097531,How to Get Ahead in Advertising
tt0097603,I Went to the Dance
tt0097728,Leningrad Cowboys Go America
tt0097843,Homework
tt0097884,May Fools
tt0097940,Mystery Train
tt0098019,Black Dragon
tt0098112,Powwow Highway
tt0098327,The Seventh Continent
tt0098368,Speaking Parts
tt0098532,The Match Factory Girl
tt0098625,We're No Angels
tt0098725,Sweetie
tt0098972,Tales of a Golden Geisha
tt0099000,Farewell China
tt0099040,Un ángel en mi mesa
tt0099286,Cold Dog Soup
tt0099292,The Comfort of Strangers
tt0099334,Cyrano de Bergerac
tt0099341,Daddy Nostalgia
tt0099426,Bullet in the Head
tt0099776,Europa Europa
tt0099858,Alexandria: Again and Forever
tt0099881,Mr. Vampire Saga IV
tt0100024,Life Is Sweet
tt0100107,Pánico en Nueva York
tt0100142,Metropolitan
tt0100223,Diary for My Father and Mother
tt0100234,Close-Up
tt0100318,"De repente, un extraño"
tt0100332,Paris Is Burning
tt0100536,"No Fear, No Die"
tt0100625,A Chinese Ghost Story II
tt0100935,Salvaje de corazón
tt0100973,Swordsman
tt0101020,Once a Thief
tt0101026,¡Átame!
tt0101258,Days of Being Wild
tt0101273,The Adjuster
tt0101279,The Stranger
tt0101428,La bella latosa
tt0101458,Hasta el fin del mundo
tt0101765,The Double Life of Véronique
tt0101819,Walking a Tightrope
tt0101962,Godzilla vs. King Ghidorah
tt0101985,A Brighter Summer Day
tt0102048,Homicide
tt0102141,Jacquot of Nantes
tt0102293,Riki-Oh: The Story of Ricky
tt0102456,Mississippi Masala
tt0102458,Mister Johnson
tt0102491,My Father Is Coming
tt0102497,Revenge
tt0102536,Una noche en la tierra
tt0102594,One Hand Don't Clap
tt0102685,Punto de quiebra
tt0102687,Poison
tt0102932,A Chinese Ghost Story III
tt0102943,Slacker
tt0103044,Prison on Fire II
tt0103070,Thank You and Good Night
tt0103190,Van Gogh
tt0103295,Swordsman II
tt0103793,Benny's Video
tt0103882,A Brief History of Time
tt0103905,Ocurrió cerca de su casa
tt0104008,A Tale of Winter
tt0104029,Cronos
tt0104057,Daughters of the Dust
tt0104224,The Fall of Otrar
tt0104249,Female Misbehavior
tt0104352,Godzilla and Mothra: The Battle for Earth
tt0104373,Guelwaar
tt0104374,The Undeclared War
tt0104545,Jamón Jamón
tt0104658,L.627
tt0104684,Hard Boiled
tt0104753,The Long Day Closes
tt0104775,Lumumba: Death of a Prophet
tt0104808,Justicia brutal
tt0104953,My Crasy Life
tt0105060,The Oil-Hell Murder
tt0105114,Highway Patrolman
tt0105151,El ejecutivo
tt0105619,The Heroic Trio
tt0105655,The East Is Red
tt0105665,Twin Peaks: Fuego camina conmigo
tt0105750,The Bohemian Life
tt0105808,Where Are We? Our Trip Through America
tt0105821,Wild Wheels
tt0105888,And Life Goes On
tt0106504,Calendar
tt0106579,"Clean, Shaven"
tt0106651,The Last Dance
tt0106696,The Young Girls Turn 25
tt0106918,Sin salida
tt0107152,Household Saints
tt0107165,Golden Balls
tt0107259,Joan the Maid 1: The Battles
tt0107260,Joan the Maid 2: The Prisons
tt0107384,Leningrad Cowboys Meet Moses
tt0107474,Madadayo
tt0107653,Desnudo
tt0107736,Moving
tt0108074,Eagle Shooting Heroes
tt0108328,Thirty Two Short Films About Glenn Gould
tt0108366,Totally F***ed Up
tt0108394,Tres colores: Azul
tt0108515,The War Room
tt0108554,When Pigs Fly
tt0108606,Heroic Trio 2: Executioners
tt0109020,71 Fragments of a Chronology of Chance
tt0109085,Alma's Rainbow
tt0109424,Chungking Express
tt0109586,A Dedicated Life
tt0109655,Double Happiness
tt0109685,A Confucian Confusion
tt0109702,Cold Water
tt0109759,Exótica
tt0109843,Fresh Kill
tt0110057,Hoop Dreams
tt0110545,The Emigrant
tt0110598,La boda de Muriel
tt0110882,Before the Rain
tt0111403,The Tit and the Moon
tt0111495,Tres colores: Rojo
tt0111507,Three Colors: White
tt0111541,Umbrellas
tt0111681,Welcome II the Terrordome
tt0111845,Through the Olive Trees
tt0112364,Angela
tt0112445,The White Balloon
tt0112654,One Hundred and One Nights
tt0112769,The Ceremony
tt0112817,Hombre muerto
tt0112887,Generación sin futuro
tt0112913,Ángeles caídos
tt0113145,The Son Of...
tt0113247,El odio
tt0113273,"Up, Down, Fragile"
tt0114305,Rude
tt0114794,The World of Jacques Demy
tt0115632,Basquiat
tt0115822,Captain Conan
tt0115928,My Sex Life... or How I Got Into an Argument
tt0116041,Deseos y sospechas
tt0116070,The Delta
tt0116261,Eye of God
tt0116293,Female Perversions
tt0116475,Halving the Bones
tt0116643,Intimate Relations
tt0116650,Irma Vep
tt0116752,Drifting Clouds
tt0116922,Por el lado oscuro del camino
tt0116962,Mahjong
tt0117040,Microcosmos
tt0117056,The Mirror
tt0117296,Perfect Love
tt0117318,El eslabón perdido
tt0117394,Profundo carmesí
tt0117398,The Promise
tt0117589,Secretos y mentiras
tt0118125,The Watermelon Woman
tt0118147,When We Were Kings
tt0118644,Assassin(s)
tt0118694,Deseando amar
tt0118818,Career Girls
tt0118845,Happy Together. Historia de un encuentro
tt0118866,Esperando la hora
tt0119167,Juegos divertidos
tt0119174,El juego
tt0119375,Insomnia
tt0119614,Marcello Mastroianni: I Remember
tt0119629,Destiny
tt0119755,Naked Acts
tt0119809,Nowhere
tt0119844,Bones
tt0120101,Moonlight Serenade
tt0120255,Dulce porvenir
tt0120263,Songs from the Second Floor
tt0120265,El sabor de las cerezas
tt0120372,Three Stories
tt0120448,The Life of Jesus
tt0120530,Once Upon a Time in China and America
tt0120674,Foolish Heart
tt0121444,Where the World Meets
tt0122111,Voyage to the End of the Universe
tt0122136,"Kuroneko, el grito del sexo"
tt0122371,Adelheid
tt0122689,The Rolling Stones Rock and Roll Circus
tt0122770,The Valley of the Bees
tt0123334,"Fight, Zatoichi, Fight"
tt0123335,Zatoichi's Revenge
tt0123948,Cure
tt0124169,Tokyo Trial
tt0124888,The Hop Pickers
tt0125554,Two Minutes Late
tt0125659,Abre los ojos
tt1065073,Boyhood. Momentos de una vida
tt1241325,Objectified
tt1248984,I Am Waiting
tt12564514,Preparations to Be Together for an Unknown Period of Time
tt1527186,Melancolía
tt15399286,Lynch/Oz
tt21394182,Goodbye Horses: The Many Lives of Q Lazzarus
tt27958252,Caught by the Tides
tt32828123,Cloud
tt5105668,95 and 6 to Go
tt5222918,The Other Side of Hope
tt6910282,Bergman Island
tt9455468,Pamfir
tt9595506,So Pretty
tt0126654,Lady of the Train
tt0126661,Devil of the Desert
tt0126721,Farewell to Your Love
tt0126908,A Fish in the Bathtub
tt0127310,Supermarket Woman
tt0129928,The Flying Ace
tt0130218,Regeneration
tt0130377,Zatoichi and the Chest of Gold
tt0130792,Innocents Abroad
tt0131013,A Quiet Life
tt0131149,Zorns Lemma
tt0131335,Canoa: A Shameful Memory
tt0133089,Woman in Witness Protection
tt0133122,Sin escrúpulos
tt0134286,I Will Buy You
tt0134749,Fountainhead
tt0134756,The Thick-Walled Room
tt0134771,Black River
tt0134805,Sincere Heart
tt0134993,Night After Night
tt0135024,Una chica de verdad
tt0135031,Beautiful Days
tt0135163,Birthright
tt0136099,Death Is a Caress
tt0137338,200 cigarrillos
tt0138355,Chafed Elbows
tt0139500,In Vanda's Room
